"","Find","id","year_behav","Group","sdb.ra","vig.ra","sex","age","rank","rank2","rc","outdeg.grm","indeg.grm","eigen.pr","betw.pr","outdeg.agg","indeg.agg","Wdeg.pr","Windeg.agg"
"1492","5J3|2017","5J3",2017,"KK",5.14,195.32,"Male",7.668493151,NA,10,0.312334665660669,0,0,0.00040514,0.002,0,0.025,8.955693063,222.7291349
"1493","5M5|2017","5M5",2017,"KK",16.63,112.24,"Female",5.791780822,NA,6.89655172413793,0.365247085263079,NA,NA,0.002210806,NA,NA,NA,25.22907905,108.3475125
"1494","64S|2017","64S",2017,"KK",7.66,114.86,"Male",14.64657534,NA,56.6666666666667,0.513763596751352,0,0,0.001091438,0.008,0,0,36.83077234,51.61915546
"1495","6A9|2017","6A9",2017,"KK",19.14,200.5,"Male",12.50958904,NA,73.3333333333333,0.463065506186746,2.052,2.052,0.002036456,0.005,0.017,0,45.72277309,84.74786717
"1496","6C2|2017","6C2",2017,"KK",20.2,163.25,"Female",11.69863014,NA,58.6206896551724,0.475764905343642,7.099,7.52,0.012468099,0.009,0.008,0,146.4527431,147.1185855
"1497","6D4|2017","6D4",2017,"KK",11.45,152.29,"Female",10.67671233,NA,20.6896551724138,0.440792961485037,5.017,5.017,0.021437182,0.008,0.009,0.018,205.0662865,69.41253882
"1498","6K6|2017","6K6",2017,"KK",12.64,149.56,"Female",6.778082192,NA,60.3448275862069,0.452429931031541,1.109,0,0.008938119,0.008,0,0,166.3400448,88.90454827
"1499","6L1|2017","6L1",2017,"KK",12.28,163.7,"Female",6.769863014,NA,22.4137931034483,0.414099278390657,0,0.356,0.011980266,0.02,0,0.017,183.4172462,192.8289133
"1500","6L3|2017","6L3",2017,"KK",12.49,159.19,"Male",6.720547945,NA,33.3333333333333,0.4679112370683,0,0,0.003529967,0.008,0,0.009,80.95403759,66.38582928
"1501","6L4|2017","6L4",2017,"KK",27.07,221.37,"Male",6.747945205,NA,23.3333333333333,0.394836106307213,0.448,0.448,0.000681176,0.003,0.034,0.008,12.33830873,51.61915546
"1502","6M7|2017","6M7",2017,"KK",10.75,132.54,"Female",5.821917808,NA,68.9655172413793,0.522608101693361,NA,NA,0.002193798,NA,NA,NA,37.2727416,16.94957343
"1503","73Z|2017","73Z",2017,"KK",14.12,159.2,"Male",12.63287671,NA,76.6666666666667,0.638369419994965,0.356,4.618,0.003796593,0.002,0.018,0.025,49.35323493,33.89914687
"1504","76J|2017","76J",2017,"KK",14.55,128.99,"Female",18.41643836,NA,82.7586206896552,0.555954098284237,5.891,2.229,0.03005807,0.007,0.025,0,298.658979,84.87627303
"1505","7F0|2017","7F0",2017,"KK",15.57,189.62,"Female",9.731506849,NA,31.0344827586207,0.454053690002137,1.936,0.979,0.016192162,0.004,0,0.017,144.0609352,137.9812677
