"agonism_winner","agonism_loser","agonism_type","winner_sex","loser_sex","date","observer","data_source","focal_individual","timeblock"
"2I3","1G6","aggression",NA,"F","2018-04-25","DP","scan","agonsim.loser","PM"
"1I7","2G3","submit","F","F","2018-04-26","DP","scan","agonsim.winner","AM"
"4G8","2D0","aggression","M","M","2018-04-26","DP","scan","agonsim.winner","AM"
"12O","33T","submit","F",NA,"2018-04-26","DP","scan","agonsim.winner","AM"
"9E3","5L4","aggression","M","M","2018-04-27","DP","scan","agonsim.winner","AM"
"2K5","3J7","submit","M","M","2018-04-27","DP","scan","agonsim.winner","AM"
"7C4","5E8","submit","F","F","2018-04-30","DP","scan","agonsim.loser","AM"
"JF","2G3","aggression",NA,"F","2018-04-30","DP","scan","agonsim.loser","AM"
"0J4","6I9","submit","M",NA,"2018-04-30","DP","scan","agonsim.winner","AM"
"04T","7G1","submit","F","M","2018-05-01","DP","scan","agonsim.loser","AM"
"2K6","9F9","aggression","F","M","2018-05-02","DP","scan","agonsim.winner","AM"
"0J4","6E6","submit","M",NA,"2018-05-03","DP","scan","agonsim.winner","AM"
"77I","6B8","submit","M","M","2018-05-09","DP","scan","agonsim.winner","AM"
"1K1","8N3","submit","F","F","2018-05-10","DP","scan","agonsim.winner","AM"
"6K5","8J3","aggression","M","M","2018-05-10","DP","scan","agonsim.loser","AM"
"5E8","1G0","aggression","F","F","2018-05-11","DP","scan","agonsim.winner","AM"
"12O","JM","aggression","F",NA,"2018-05-11","DP","scan","agonsim.winner","AM"
"2K5","81O","aggression","M","M","2018-05-11","DP","scan","agonsim.winner","AM"
"2D0","6I9","submit","M","M","2018-05-14","DP","scan","agonsim.winner","AM"
"00V","8N3","submit","F","F","2018-05-16","DP","scan","agonsim.winner","AM"
"1K1","9M8","aggression","F","F","2018-05-17","DP","scan","agonsim.winner","AM"
"2K5","36V","aggression","M","M","2018-05-23","DP","scan","agonsim.loser","AM"
"3I6","3K1","aggression","M","M","2018-05-23","DP","scan","agonsim.loser","AM"
"61R","2K5","submit","M","M","2018-05-24","DP","scan","agonsim.winner","AM"
"0M3","1I7","submit","F","F","2018-05-24","DP","scan","agonsim.loser","AM"
"2G4","1K2","aggression",NA,"F","2018-05-25","DP","scan","agonsim.loser","AM"
"2K6","JM","aggression","F","M","2018-05-25","DP","scan","agonsim.winner","PM"
"9C1","JF","aggression","F","F","2018-05-29","DP","scan","agonsim.winner","AM"
"3I6","04T","submit","M","M","2018-05-29","DP","scan","agonsim.loser","PM"
"1K1","4C9","aggression","F","F","2018-05-31","DP","scan","agonsim.winner","AM"
"6E6","JM","aggression","M","M","2018-05-31","DP","scan","agonsim.winner","PM"
"JF","45Z","aggression","F","F","2018-06-01","DP","scan","agonsim.loser","AM"
"2K3","32Z","submit","M","M","2018-06-01","DP","scan","agonsim.loser","AM"
"0H8","7M8","aggression","M","M","2018-06-01","DP","scan","agonsim.winner","PM"
"8N3","3D9","submit","F","M","2018-06-05","DP","scan","agonsim.loser","AM"
"4C9","2K1","aggression",NA,"F","2018-06-06","DP","scan","agonsim.loser","PM"
"2N8","JM","aggression","M","M","2018-06-07","DP","scan","agonsim.winner","AM"
"61R","77I","submit","M","M","2018-06-07","DP","scan","agonsim.winner","AM"
"8K1","2N8","submit","M","M","2018-06-07","DP","scan","agonsim.winner","AM"
"2G4","9E8","aggression",NA,"F","2018-06-07","DP","scan","agonsim.loser","AM"
"4G8","93R","submit","M","M","2018-06-13","DP","scan","agonsim.winner","AM"
"2E4","JF","aggression","F",NA,"2018-06-13","DP","scan","agonsim.winner","AM"
"9C1","4C5","aggression",NA,"M","2018-06-13","DP","scan","agonsim.loser","AM"
"2K4","4J4","aggression","M",NA,"2018-06-13","DP","scan","agonsim.winner","PM"
"0M4","7K8","submit","M",NA,"2018-06-15","DP","scan","agonsim.winner","AM"
"1I7","2I3","submit","F","F","2018-06-18","DP","scan","agonsim.loser","AM"
"12O","7G1","submit","F",NA,"2018-06-18","DP","scan","agonsim.winner","AM"
"1B0","1I6","aggression",NA,"F","2018-06-20","DP","scan","agonsim.loser","AM"
"9C1","5L8","aggression","F","F","2018-06-21","DP","scan","agonsim.winner","AM"
"1B1","3I6","submit","M","M","2018-06-21","DP","scan","agonsim.loser","PM"
"33T","JM","aggression","M","M","2018-06-25","DP","scan","agonsim.winner","AM"
"61R","2K3","submit","M","M","2018-06-25","DP","scan","agonsim.loser","AM"
"JF","9C1","aggression","F","F","2018-06-26","DP","scan","agonsim.loser","AM"
"2G2","1B0","aggression","F","M","2018-07-02","DP","scan","agonsim.winner","AM"
"61R","5N5","submit","F","M","2018-07-05","DP","scan","agonsim.loser","AM"
"1K1","1I5","aggression","F","F","2018-07-05","DP","scan","agonsim.loser","AM"
"0M3","61R","submit","F","F","2018-07-05","DP","scan","agonsim.winner","AM"
"6K5","7K4","submit","M","M","2018-07-05","DP","scan","agonsim.winner","PM"
"7G1","0G1","aggression","F","M","2018-07-06","DP","scan","agonsim.winner","AM"
