,dens,dens.w,gini,gini.w,kcomm,clust.w,dens.f,dens.f.w,gini.f,gini.f.w,kcomm.f,clust.f.w,dens.m,dens.m.w,gini.m,gini.m.w,eo.FF,eo.MM,eo.cross,eo.ck,eo.dk,eo.u,kinDegree,group,isPost,quarter,netID
1488,0.027350427,4.690598291,0.425627943,0.443949636,8,0.149561404,0.034774985,3.112361192,0.375160234,0.407631853,6,0.152148664,0.019153226,0.210685484,0.623355263,0.650568182,1.249001062,0.529542462,0.897937565,10.0120487,1.850502793,0.664485669,0.171159777,groupKK,0,2,groupKK.0.2
1489,0.026617827,3.043295705,0.431192661,0.432576531,10,0.143960033,0.034190532,2.108409065,0.383166739,0.38158548,8,0.106543061,0.02016129,0.174730444,0.5890625,0.622596817,1.290866569,0.625822141,0.834703135,13.02783212,1.432379666,0.573427287,0.21601681,groupKK,0,2,groupKK.0.2
1490,0.027960928,3.429864137,0.422141178,0.414118509,8,0.164554351,0.034482759,2.160912414,0.372163172,0.367111579,7,0.165008869,0.02016129,0.168009879,0.621875,0.640000378,1.222682573,0.560871521,0.91355818,11.34071109,2.114288988,0.609875412,0.190806297,groupKK,0,2,groupKK.0.2
1491,0.027228327,2.641147741,0.41265461,0.392262377,9,0.151764955,0.032437171,1.540765634,0.349366315,0.350579839,9,0.132545932,0.02016129,0.131048387,0.5984375,0.610576923,1.171995035,0.553240356,0.961498558,10.89605263,2.266378947,0.620375667,0.193135789,groupKK,0,2,groupKK.0.2
1492,0.029181929,2.217837999,0.403053014,0.376132283,9,0.150026818,0.035651666,1.479551257,0.357043623,0.35810984,9,0.095734563,0.02016129,0.094086895,0.5640625,0.563615949,1.306887684,0.506952445,0.851412478,13.15385316,1.064225092,0.580966755,0.220265254,groupKK,0,2,groupKK.0.2
1493,0.026251526,7.822954823,0.454740608,0.493214839,9,0.171289538,0.033606078,5.074517826,0.411201179,0.442810641,6,0.178571429,0.02016129,0.504032258,0.6296875,0.65625,1.212731281,0.692621509,0.887964253,8.389863596,2.413006623,0.70254463,0.144715894,groupKK,0,2,groupKK.0.2
1494,0.026495726,2.958680274,0.406087001,0.403641477,8,0.126090335,0.034190532,1.983042984,0.351006809,0.354179338,8,0.104697922,0.018145161,0.145160746,0.652777778,0.661458652,1.243105431,0.591477712,0.887009355,10.65494135,1.522933339,0.652787576,0.185245836,groupKK,0,2,groupKK.0.2
1495,0.027106227,1.874206674,0.392040392,0.375283607,12,0.093584906,0.033313852,1.261170807,0.350133809,0.345058474,11,0.084953931,0.02016129,0.074885484,0.571875,0.600959933,1.310402015,0.443509717,0.864894774,14.69167906,1.374964599,0.517583962,0.247413679,groupKK,0,2,groupKK.0.2
1496,0.028815629,3.534705416,0.414369529,0.410804209,7,0.145240132,0.035651666,2.21039543,0.358293971,0.353563507,8,0.150854574,0.023185484,0.224125262,0.580163043,0.613147324,1.2096756,0.650611525,0.901769985,10.96428026,2.315114028,0.616433021,0.185311743,groupKK,0,2,groupKK.0.2
1497,0.029181929,2.597191697,0.410041841,0.39730831,8,0.170806397,0.037697253,1.786849795,0.375509132,0.375598942,10,0.187817259,0.022177419,0.1375,0.583806818,0.580645161,1.274653761,0.575140449,0.862710674,12.25540021,1.81692827,0.587774414,0.203261603,groupKK,0,2,groupKK.0.2
