Row,0J5,0K8,0M6,0Q5,1C5,1C7,1E2,1L1,1O7,1O9,1P0,1P4,1R1,24V,25P,2C3,2C4,2F2,2J7,2O7,2R9,37V,3F5,3F7,3G3,3R0,3R9,44V,49V,4D8,4F1,4M9,4P6,4Q4,4R4,51V,55J,5H4,5Q7,60R,62R,6C2,6D4,6D6,6D9,6K6,6L1,6M7,76J,7F0,7I8,7J7,7Q3,83Z,86Z,8I9,8L3,8O9,93O,9I8,9L9,9N6,9Q5
76J,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6789690343655,0,0,0,0,19.6789690343655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6789690343655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6789690343655,0,0,0,0,0,0
7F0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5734676268367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.1469352536734,0,0,0,0,0,0,0,0,0,20.5734676268367,0,0,0,0
7I8,0,20.5734676268367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5734676268367,0,0,20.5734676268367,0,0,0,20.5734676268367,0,0,0,0,0,0,0
7J7,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6789690343655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6789690343655,0,0,0,0,0,0
7Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83Z,0,0,0,0,0,0,0,0,0,19.6789690343655,0,0,0,0,0,0,0,0,19.6789690343655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6789690343655,0,0,0,19.6789690343655,0,0,0,0,0,0,0,0,0,0,0,19.6789690343655,0,0,0,0,0,0,0,0,0
86Z,0,20.5734676268367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8I9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6789690343655,0,0,0,0,0,0,0,0,0
8L3,0,21.5531565614479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5531565614479,0,0,0,0,0,0,0,0,0,0,0,0,21.5531565614479,21.5531565614479,0,0,0,0,0,0,0,0,0,0,0
8O9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.5232575580814,0,0,0,0,0,0,0,0,0,0,135.784886337122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.2616287790407,0,0,0,0,0,0
93O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5734676268367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5734676268367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9I8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.0369071030965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9L9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.0369071030965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9N6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.581397286757,0,0,0,0,0,0,0,0,0,0,0,0,50.2906986433785,0,100.581397286757,0,0,0,0,0,0,0
9Q5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.2616287790407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
